  4460,  5192,  5956,  6680,  7199,  6706,  5727,  4481,  3261,  1993,
  1264,   747,   767,   752,  1248,  1975,  2473,  2955,  2952,  2447,
   974, -1267, -4000, -6965,-10210,-13414,-16639,-19363,-21329,-22541,
-23028,-22545,-21055,-19067,-16829,-14859,-12596, -9900, -6684, -3475,
  -983,  1733,  3978,  5734,  6720,  6978,  6993,  7223,  7225,  7440,
  7688,  8431,  8944,  9468,  9947, 10688, 11194, 11946, 12449, 12446,
 12456, 11974, 11454, 10952, 10167,  9425,  8153,  6941,  5436,  3716,
  1952,   236, -1254, -2463, -3493, -4223, -4695, -4927, -5190, -4941,
 -4188, -2956, -1490,   -40,   705,   932,   446,  -776, -2512, -3994,
 -5723, -7201, -8687,-10157,-11134,-11661,-11642,-11168,-10155, -9142,
 -7888, -7146, -6186, -5694, -4971, -4715, -4498, -4471, -4468, -4452,
 -4452, -3940, -2980, -1984,  -752,   257,  1021,  1264,  1032,    31,
